Model,Mean Accuracy (%),Std (%)
Model A,36.608,1.3338875514825081
Model B,34.004,1.586601399217837
Curve,49.212,0.4423754061880031
OT,9.309999999999999,1.224516231007168
AVG,9.309999999999999,1.224516231007168
